⿺⿻一乚十	{E143}
⿺辶⿱台𧘇	{EB71}
⿺辶⿱罒㒸	{EA88}
⿺免生	{EAA3}
⿺兔生	{EAA4}
⿺廴旦	{EB79}
⿺元女	{EAA5}
⿺𠃊𥃭	{E91E}
⿻⿱𠄟乛𠀐	{E139}
⿻⿻㇈丿二	{E140}
⿻甲一	{E0EB}
⿻兰氺	{E134}
⿻了叹	{E812}
⿻凵人	{E142}
⿻十玨	{EB81}
⿻土从	{E10F}
⿻勿乀	{E14A}
⿻乚\{11\}	{E144}
⿻又丷	{EAD3}
⿻肀⿱八⿰心巳	⿱{E149}{EB6A}
⿻聿皕	{EB03}
⿻者丶	{EAF9}
⿻丶𬼂	{E138}
⿻𠈌十	{EA86}
⿻𰀁𠈌	{EB00}
⿻⿽廾丶\{86\}	{E147}
艹一⿳⿲止白巳八夊	龷{EB01}{E989}
弋⿱二	{E0BF}
⿽戈一	{E146}
⿽弋十	{E145}
